tweet,keyword,intentions
"If Aditya Dhar had shown this scene in Dhurandhar 2, outrage would’ve broken the internet. ",aditya,Negative
This is so funny 😆 ,this,Positive
Bro was so innocent before😭 ,bro,Positive
"As much as I despise KRK and his usual opinions, i cannot disagree here ",much,Negative
Deserves more praise for whatever she pulled of at this young age❤️ ,deserves,Positive
Ranveer Singh credits his whole success to his manager he appointed in 2022 ,his,Positive
Bro was Hamza's Doraemon in Dhurandhar ,bro,Neutral
"Ranveer Versatile Singh 🔥🔥 Ranveer Singh has always been a brilliant and versatile actor, whether it’s 83, Padmaavat, GB, Bajirao Mastani or many others. In each film, he has shown a different side of himself and proved his range again and again.

With Dhurandhar 2, he has taken that level even at more top. His performance feels very natural on screen, and the way he carries the character shows his strong range on acting.

Ranveer truly stands among the finest actors of this generation.",ranveer,Positive
Aditya dhar who? ,aditya,Neutral
Still remained underrated ,still,Neutral
Dhurandhar propaganda? ,dhurandhar,Negative
Galat kia Galat kia yaar ,galat,Neutral
Real Dhurandhar of our country! ,real,Positive
Thoughts 🤔 ,thoughts,Neutral
If Varun Dhawan and Tiger Shroff were in Dhurandhar 2. 😂 ,varun,Neutral
